airline_sentiment,clean_tweet
negative,delayed almost hrs take jetblue good luck today really frustrating
neutral,ceo battles appease passengers wall street waterbury republican american
neutral,trivia contest win flight question rt follow amp send answer enter via
positive,definitely thanks
positive,makingloveoutofnothingatall brandloveaffair lax
negative,something telling us
neutral,told however would work going overseas bottom line passengers feel
negative,runway hour water pressure low taxiing back maintenance
negative,thanks heads hour delay sarcasm patienceiswearingthin woof
positive,hi wanted see new routes planned year newark love flying guys hope
negative,sign trueblue twice happens everyone around
negative,mechanical failure boston fault
positive,oh totally looks par admirals club way slide us couple passes
negative,boston
neutral,thanks bae
negative,going miss hugely important meeting constant delays itscostingmeincome
positive,gr mint crew flight lax mintalicious truebluelove shelleyandmarcrock travel air
positive,thanks offering service guys
negative,flights delayed gt gt gt
positive,say lostinlove w brandmance wemosaictogether mint love
neutral,nervous sunday flight baltimore boston suggestions need boston monday
positive,guys rock
positive,would great never thought sort really makes flying experience bearable
negative,sorry report stuck tarmac held notwheelsup
positive,thanks gent phone fixed bos mco flight fee waiver flyfi forget name
neutral,airways hits new week high jblu sleekmoney
negative,bit steamed conjunction w new hour wait first sat bought bit tea settled
positive,thanks hope look like complainer written good experiences w past making terminal
neutral,love help shanese bryant melton hard working grandmother dc go miami bucket list flyitforward
neutral,signed trueblue booked flight keep getting error try link tb account deal
positive,success good work jetblue team
neutral,hope plane appear leaving nearby terminal gate
positive,great flight great view
positive,beautiful ride thanks
positive,perfect probably need coffee stay awake night
negative,appreciate done end make right still unhappy initial incident calling
neutral,ceo battles appease passengers wall street waterbury republican american
negative,lines may extra long security slow seems employees quick blame customers arrive hours ahead
positive,better holdon everythingsgonnabealright brandloveaffair truebluelove travel business
negative,error message paper tickets cannot serviced line please see jetblue crewmember assistance
neutral,food places open jfk
negative,ccndjp send screen shot systems error email address provided
negative,inconvenience understatement like torture clearly going wrong path jetblue
negative,cling safety card safety really issue flight would landed immediately
neutral,catch name sure jason know
negative,waited line time told crewmember update hrdelay disappointed
negative,phone agents see flights see online change tickets even paying frustrating jetblue
negative,flight forced return ny malfunction land countless air strips surrounding chi
positive,haha need apologize flight booking problems sooner late flightr love jetblue
neutral,oh disney bound workhard playsoon
neutral,ceo battles appease passengers wall street
negative,denver boston flight boston denver flight planes visible snack crumbs seats upon boarding
negative,felt bit like adding insult injury since terminal seven hours next flight
neutral,guys get rid hip hop stations sirius xm
negative,knew hours sounded odd missed flight hit jfk hour early gate attendant told us
negative,well time going happen safety come looks like look another flight sttimeflyer
neutral,airways continue various commercial relationships lufthansa
negative,u said mins take told hr delay amp possible cancelled flightlation u plan rectify frustrated
positive,wait one contain
negative,hope wanted early flight avoid airport chaos late flight
positive,big thanks ricardo olavarria reagan airport fixed ticket made sure made friend wedding greatservice
positive,really good hear thanks update may make business meeting
neutral,spent winter nny mom jetblue take home fl via bos mon miss hubby kitties warm countingdown
neutral,hey chance update flight hartford c
negative,updates anything know issue front wheels locked
negative,flight dca delays erring side safety inconvenience people connecting flights
neutral,c thinking summer new nantucket service broadway world
